question,document
I just found this course — is it still possible to join now?,74eb249bbf
Can I still enroll if I'm late to the course?,74eb249bbf
"If I join the course after it started, can I still get the certificate?",74eb249bbf
Do I need to finish and submit the project before submissions close to get a certificate?,74eb249bbf
What’s the deadline for project submission if I want the course certificate?,74eb249bbf
"I signed up for LLM Zoomcamp, but I never got any confirmation email. Should I be worried?",977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"Is there a list of approved students, or can anyone just begin the LLM Zoomcamp work?",977bf7786c
What does course registration do if it’s not required for accessing the homework?,977bf7786c
"If I already registered, does that change anything, or is it just for checking interest before the course starts?",977bf7786c
Where do I join the Office Hours stream if the Zoom link isn’t shared with students?,489dd1c9d9
"Is there a YouTube live link for the workshop sessions, and where do I find it before they start?",489dd1c9d9
How should students ask questions during live Office Hours if we can’t use the chat?,489dd1c9d9
Will the live session URL be posted somewhere like Telegram or Slack before the event starts?,489dd1c9d9
"If I’m a student, how am I supposed to watch and participate in the workshop without the Zoom link?",489dd1c9d9
What’s the best way to begin LLM Zoomcamp and what should I read first?,04919992b3
"If I join late, can I still start the course anytime or are there fixed start dates?",04919992b3
What’s the usual weekly routine for this course from videos to homework submission?,04919992b3
"Where do I find the lesson materials, notebooks, and the homework instructions?",04919992b3
"Is the homework basically the same as the lesson, or does it use different data/tasks?",04919992b3
How do I find my own entry on the course leaderboard if I can’t see my name there right away?,c2903069a0
Why did I get some random display name on the leaderboard when I made my account?,c2903069a0
Where can I check what my display name is for the course profile?,c2903069a0
Can I change the nickname shown on the leaderboard to my Slack or GitHub name?,c2903069a0
What name should I put in my profile if I want my certificate to show my real name instead of the default one?,c2903069a0
